Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Título,Precio,Moneda,Descripción,Tipo de vendedor,HP,Tracción
Hyundai,Tucson,2025.0,premium,Blanco,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Hyundai Tucson 2WD AT Premium,48900.0,US$,"NEW TUCSON 2025 , concesionario y service oficial. reservá la tuya!",concesionaria,,4x2
Volkswagen,Nivus,2025.0,200 tsi comfortline l25,Celeste,Nafta,5.0,AUTOMÁTICA,,Sí,1000.0,Volkswagen Nivus 200 TSI COMFORTLINE AT L25,36500000.0,$,¡Encontra tu próximo auto en Car Advice! Tenemos más de 200 vehículos disponibles.• Brindamos garantía de 3 meses para el motor y la caja de cambios.• Financiamos hasta el 50% del valor del vehículo.• Recibimos tu usado a la mejor cotización del mercado.Ofrecemos una experiencia de compra satisfactoria que nos distingue como una opción confiable en el mercado.Nuestros clientes nos avalan con calificación de 5 estrellas en Google.Podes visitarnos en cualquiera de nuestras tres sucursales en Ciudad de Córdoba:• Bv. Los Granaderos 3110• Av. Caraffa 2883• Octavio Pinto 3169Horario de atención:Lunes a viernes de 9:30 a 19hs.Sábados de 9:30 a 14hs.¡Te esperamos para elegir tu próximo auto!,concesionaria,,
Volkswagen,Nivus,2024.0,200 tsi comfortline l24,Gris,Nafta,5.0,AUTOMÁTICA,,Sí,9171.0,Volkswagen Nivus 200 TSI COMFORTLINE AT L24,30200000.0,$,"CAR ONE – PREDIO SAN MARTIN.SOMOS EL PRIMER MEGA LEADER DEL PAÍS, QUE COMERCIALIZA EL MÁS AMPLIO STOCK DE USADOS CON 24 AÑOS DE EXPERIENCIA Y SATISFACCIÓN A NUESTROS CLIENTES, QUE AVALAN NUESTRA MARCA.+ AMPLIO STOCK DISPONIBLE.+ VEHÍCULOS CON GARANTÍA+ PISTA DE TEST DRIVE+ FINANCIACIÓN CON TASA FIJA!!!!+ TOMAMOS SU USADO AL MEJOR VALOR DEL MERCADO.+ ATENDEMOS A TODO EL PAÍS!!!*UNA COMPRA SIMPLE, RÁPIDA Y SEGURA.*¡CONTÁCTESE CON NOSOTROS!",tienda,,
Porsche,Macan,2025.0,electric,Negro,Eléctrico,5.0,AUTOMÁTICA,,Sí,0.0,Porsche Macan 4 Electric - 0km 2025 - Porsche Argentina,268000.0,US$,"En Nordenwagen S.A. somos el único importador y distribuidor exclusivo de Porsche para Argentina y Uruguay desde hace 32 años. Transmitimos el ADN Porsche, historia y valores de la marca; Perseguimos el entusiasmo del cliente con nuestros productos y servicios, la innovación y la sustentabilidad, abordando temas como la electro movilidad y el desarrollo de la red de cargas para vehículos eléctricos.Comercializamos vehículos nuevos y de re-estreno bajo el programa Porsche Approved, con asesores capacitados y certificados por Porsche AG.- UNIDAD DE STOCK! ENTREGA INMEDIATA!- PRUEBE NUESTRO CONFIGURADOR EN LA PÁGINA OFICIAL PORSCHE PARA SELECCIÓN DE COLORES, Y GRAN VARIEDAD DE OPCIONALESEQUIPAMIENTO/OPCIONALES:- RIELES DE TECHO EN ALUMINIO NEGRO- LAMINAS DESIGNACIÓN DEL MODELO Y LOGO ""ELÉCTRICO"" PINTADO EN PLATA - SUSPENSIÓN NEUMÁTICA ADAPTATIVA CON SISTEMA DE NIVELACIÓN Y AJUSTE DE ALTURA INCL. GESTIÓN ACTIVA DE LA SUSPENSIÓN PORSCHE (PASM)- PAQUETE SPORT CHRONO- DIRECCIÓN ASISTIDA PLUS - SONIDO DEPORTIVO ELÉCTRICO PORSCHE- FAROS PRINCIPALES MATRIX LED AZUL GLACIAR EXCLUSIVE MANUFAKTUR- PILOTOS TRASEROS LED CON TIRA LUMINOSA EN AZUL GLACIAR EXCLUSIVE MANUFAKTUR- ESCUDO PORSCHE EN LOS REPOSACABEZAS DELANTEROS EXCLUSIVE MANUFAKTUR- VOLANTE DEPORTIVO GT MULTIFUNCIÓN CALEFACTABLE EN RACE-TEX CON INTERRUPTOR DE MODO- INTERIOR ESCUDO DE PORSCHE EN EL REPOSABRAZOS DE LA CONSOLA CENTRALEXCLUSIVE MANUFAKTUR- MATAFUEGOS- ESFERA DE INSTRUMENTOS CON BRÚJULA/CRONÓMETRO DEPORTIVO ESFERA DE INSTRUMENTOS AZUL ÁRTICO EXCLUSIVE MANUFAKTUR- PANTALLA FRONTAL DE REALIDAD AUMENTADA- PARKASSIST INCL. VISTA ENVOLVENTE - CONTROL DE CRUCERO ADAPTATIVO- CONTROL CLIMÁTICO AVANZADO (4 ZONAS)- PANTALLA DE PASAJEROS - SISTEMA DE SONIDO ENVOLVENTE BOSEPORSCHE LANZA SU SEGUNDO MODELO TOTALMENTE ELÉCTRICO: EL NUEVO MACAN, CON MOTORES DE HASTA 639 CV (470 KW), OFRECE CARACTERÍSTICAS E-PERFORMANCE EN CUALQUIER TERRENO Y UNA ELEVADA VERSATILIDAD PARA EL USO DIARIO. LAS PRESTACIONES DE UN DEPORTIVO SE COMBINAN CON UNA CARGA RÁPIDA DE ALTO RENDIMIENTO, DE HASTA 270 KW, Y CON UNA AUTONOMÍA QUE LLEGA A 613 KILÓMETROS EN EL CICLO WLTP.DIEZ AÑOS DESPUÉS DE SU LANZAMIENTO, EL PORSCHE MACAN SE DIRIGE HACIA SU SEGUNDA GENERACIÓN, AHORA CON PROPULSIÓN CIEN POR CIEN ELÉCTRICA. CON LOS NUEVOS MACAN 4 Y MACAN TURBO, PORSCHE QUIERE SATISFACER POR COMPLETO LAS EXPECTATIVAS DE SUS CLIENTES QUE ELIGEN UN SUV. ESTO ES POSIBLE GRACIAS A UN DISEÑO EVOLUCIONADO Y ATEMPORAL, A LAS PRESTACIONES CARACTERÍSTICAS DE LOS MODELOS DE LA MARCA, A SU AUTONOMÍA PARA LARGOS RECORRIDOS Y A SU GRAN FUNCIONALIDAD EN EL DÍA A DÍA.PORSCHE UTILIZA EXCLUSIVAMENTE LA ÚLTIMA GENERACIÓN DE MOTORES ELÉCTRICOS DE IMANES PERMANENTES (PSM) EN LOS EJES DELANTERO Y TRASERO. GRACIAS A ELLO LOGRA UNA EFICIENCIA EXCELENTE Y HACE POSIBLE QUE LAS PRESTACIONES SE PUEDAN REPETIR DE FORMA ÓPTIMA UNA Y OTRA VEZ. LAS CIFRAS INDICAN POR SÍ MISMAS UN RENDIMIENTO DE PRIMERA: EN COMBINACIÓN CON EL LAUNCH CONTROL, EL MACAN 4 GENERA HASTA 408 CV (300 KW) DE POTENCIA EN MODO OVERBOOST, MIENTRAS QUE EL MACAN TURBO LLEGA HASTA 639 CV (470 KW). EL PAR MÁXIMO ES DE 650 Y 1.130 NM, RESPECTIVAMENTE, LO QUE GARANTIZA UNAS MAGNÍFICAS PRESTACIONES. EL MACAN 4 ACELERA DE 0 A 100 KM/H EN 5,2 SEGUNDOS, MIENTRAS QUE EL MACAN TURBO SOLO TARDA 3,3 SEGUNDOS. LAS DOS VERSIONES ALCANZAN UNA VELOCIDAD MÁXIMA DE 220 Y 260 KM/H, RESPECTIVAMENTE.NUEVA PLATAFORMA ELÉCTRICA PREMIUM (PPE) CON ARQUITECTURA DE 800 VOLTIOSLOS MOTORES ELÉCTRICOS OBTIENEN SU ENERGÍA DE UNA BATERÍA DE IONES DE LITIO SITUADA EN LOS BAJOS DE LA CARROCERÍA, CON UNA CAPACIDAD BRUTA DE 100 KWH, DE LOS CUALES PUEDEN UTILIZARSE ACTIVAMENTE HASTA 95 KWH. LA BATERÍA DE ALTA TENSIÓN (HV) ES UN COMPONENTE CENTRAL DE LA PLATAFORMA ELÉCTRICA PREMIUM (PPE) CON ARQUITECTURA DE 800 VOLTIOS DE NUEVO DESARROLLO, QUE PORSCHE UTILIZA POR PRIMERA VEZ EN EL MACAN. LA POTENCIA DE CARGA CON CORRIENTE CONTINUA (CC) LLEGA HASTA 270 KW. LA BATERÍA PUEDE CARGARSE DEL 10 % AL 80 % EN APROXIMADAMENTE 21 MINUTOS EN UNA ESTACIÓN DE CARGA RÁPIDA ADECUADA. EN ESTACIONES DE 400 VOLTIOS, UN CONMUTADOR DE ALTA TENSIÓN PERMITE LA CARGA POR SECCIONES PORQUE DIVIDE EN DOS LA BATERÍA DE 800 VOLTIOS, CADA UNA CON UNA TENSIÓN NOMINAL DE 400 VOLTIOS. ESTO HACE ESPECIALMENTE EFICIENTE LA CARGA DE HASTA 135 KW, SIN NECESIDAD DE UN TRANSFORMADOR DE ALTA TENSIÓN ADICIONAL. LA CARGA DOMÉSTICA CON CORRIENTE ALTERNA (CA) PUEDE ALCANZAR LOS 11 KW.LOS MOTORES ELÉCTRICOS PUEDEN RECUPERAR HASTA 240 KW DE ENERGÍA DURANTE LA MARCHA. EL SISTEMA INTEGRATED POWER BOX (IPB) TAMBIÉN CONTRIBUYE A LA EFICIENCIA DE LOS NUEVOS MODELOS MACAN, AL TIEMPO QUE AHORRA PESO Y ESPACIO. EL INNOVADOR Y COMPACTO IPB COMBINA TRES COMPONENTES: EL CARGADOR INSTALADO DE CA, EL CALENTADOR DE ALTA TENSIÓN Y EL TRANSFORMADOR CC/CC. LA AUTONOMÍA COMBINADA WLTP PUEDE ALCANZAR LOS 613 KILÓMETROS EN EL MACAN 4 Y LOS 591 KM EN EL MACAN TURBO.PROPORCIONES DEPORTIVAS Y LÍNEAS DE COUPÉGRACIAS A LAS PROPORCIONES MÁS ESTILIZADAS Y AL ADN PORSCHE DESIGN, EL NUEVO MACAN TIENE UN ASPECTO DINÁMICO Y CON CARÁCTER. LA SUAVE INCLINACIÓN DEL CAPÓ Y LAS ALETAS MUY PRONUNCIADAS CONFIEREN A ESTE SUV UN ASPECTO ATLÉTICO, INCLUSO CUANDO ESTÁ PARADO. MIDE 4.784 MILÍMETROS DE LARGO, 1.938 MM DE ANCHO Y 1.622 MM DE ALTO. EL NUEVO MACAN ESTÁ EQUIPADO CON LLANTAS DE HASTA 22 PULGADAS, CON NEUMÁTICOS DE DISTINTA ANCHURA EN CADA EJE. LA DISTANCIA ENTRE EJES, 86 MM MAYOR QUE EN EL MODELO ANTERIOR (2.893 MM), SE COMPENSA CON VOLADIZOS CORTOS DELANTE Y DETRÁS. LOS GRUPOS ÓPTICOS ESTÁN DIVIDIDOS EN DOS PARTES: LA UNIDAD SUPERIOR PLANA CON LUCES DIURNAS DE CUATRO PUNTOS ESTÁ INTEGRADA EN LAS ALETAS Y ACENTÚA LA ANCHURA DEL COCHE; EL MÓDULO DE LOS FAROS PRINCIPALES, OPCIONALMENTE CON TECNOLOGÍA MATRIX LED, ESTÁ SITUADO LIGERAMENTE MÁS ABAJO EN EL FRONTAL. LA CARACTERÍSTICA FLYLINE DE PORSCHE FORMA UNA UNIDAD CON LA LUNETA TRASERA PLANA. EN COMBINACIÓN CON LAS VENTANILLAS SIN MARCO Y LAS ALETAS LATERALES, EL RESULTADO ES UN DISEÑO ELEGANTE Y DEPORTIVO. LOS HOMBROS FUERTEMENTE PRONUNCIADOS CONFIEREN A LA ZAGA UN ASPECTO MUSCULOSO. EL LOGO PORSCHE SE SITÚA AHORA EN EL CENTRO DE LA ESCULTURAL BANDA LUMINOSA EN 3D.AERODINÁMICA ACTIVA Y PASIVA PARA UNA MAYOR AUTONOMÍAPORSCHE COMBINA SU ADN DE DISEÑO CON UNA AERODINÁMICA OPTIMIZADA PARA MEJORAR LA AUTONOMÍA. GRACIAS AL SISTEMA PORSCHE ACTIVE AERODYNAMICS (PAA), CON ELEMENTOS ACTIVOS Y PASIVOS, Y UN COEFICIENTE DE RESISTENCIA AL AVANCE DE 0,25, EL NUEVO MACAN ES UNO DE LOS SUV MÁS AERODINÁMICOS DEL MERCADO, LO QUE TIENE EFECTOS POSITIVOS EN LA AUTONOMÍA Y EL CONSUMO. EL SISTEMA PAA INCLUYE EL SPOILER TRASERO ADAPTATIVO, ALETAS DE REFRIGERACIÓN ACTIVAS EN LAS TOMAS DE AIRE DELANTERAS Y CUBIERTAS FLEXIBLES EN LOS BAJOS TOTALMENTE SELLADOS. LOS DEFLECTORES SITUADOS BAJO EL MÓDULO DE LOS FAROS Y EL FRONTAL REBAJADO OPTIMIZAN EL FLUJO DE AIRE. EN LA PARTE TRASERA, LOS BORDES LATERALES Y EL DIFUSOR DE LAMAS GARANTIZAN LA EFICIENCIA AERODINÁMICA.DOS MALETEROS Y MAYOR ESPACIO INTERIOR.DEPENDIENDO DE LA VERSIÓN Y DEL EQUIPAMIENTO INSTALADO, LA CAPACIDAD TRAS EL ASIENTO POSTERIOR LLEGA HASTA 540 LITROS (MODO DE CARGA). ADEMÁS, EXISTE EL FRUNK, UN SEGUNDO MALETERO BAJO EL CAPÓ, CON UNA CAPACIDAD DE 84 LITROS. ESTO SUPONE 127 LITROS MÁS QUE EL MODELO ANTERIOR. SI EL RESPALDO DEL ASIENTO TRASERO SE ABATE POR COMPLETO, EL VOLUMEN DE LA ZONA DE CARGA POSTERIOR AUMENTA HASTA 1.348 LITROS. LA CAPACIDAD MÁXIMA DE REMOLQUE DE 2.000 KILOGRAMOS SE SUMA A LAS CUALIDADES PRÁCTICAS DEL NUEVO MACAN.DEPENDIENDO DE LA VERSIÓN Y DEL EQUIPAMIENTO, EL CONDUCTOR Y EL ACOMPAÑANTE SE SIENTAN AHORA HASTA 28 MM MÁS ABAJO QUE ANTES, MIENTRAS QUE LOS PASAJEROS TRASEROS ESTÁN 15 MM MÁS ABAJO Y TIENEN MAYOR ESPACIO PARA LAS PIERNAS. EL INTERIOR ES INCONFUNDIBLEMENTE PORSCHE: LA ANCHURA DEL PUESTO DE CONDUCCIÓN SE ACENTÚA CON UN PANEL NEGRO INTEGRADO. EL DISEÑO ASCENDENTE DE LA CONSOLA CENTRAL AUMENTA LA IMPRESIÓN DE UNA POSICIÓN BAJA Y CENTRADA EN LAS PRESTACIONES DEL VEHÍCULO. AL MISMO TIEMPO, LAS VENTANILLAS DE GRAN TAMAÑO APORTAN UNA SENSACIÓN DE LUMINOSIDAD Y AMPLITUD A LOS OCUPANTES. ADEMÁS DE LAS MODERNAS INTERFACES DE USUARIO DIGITALES, TAMBIÉN HAY ALGUNOS ELEMENTOS DE CONTROL ANALÓGICOS, POR EJEMPLO, EN LAS SALIDAS DE VENTILACIÓN Y LOS MANDOS DE LA CLIMATIZACIÓN. UNA TIRA DE LUCES LED ESTÁ INTEGRADA EN EL EMBELLECEDOR DEL HABITÁCULO Y LAS PUERTAS. ACTÚA COMO ILUMINACIÓN AMBIENTAL Y COMO LUZ DE COMUNICACIÓN. DEPENDIENDO DE LA SITUACIÓN, PROPORCIONA INFORMACIÓN O AVISOS, POR EJEMPLO, PARA SALUDAR DURANTE LOS PROCESOS DE CARGA O EN COMBINACIÓN CON LOS SISTEMAS DE ASISTENCIA AL CONDUCTOR. EL EQUIPAMIENTO DEL NUEVO MACAN PERMITE UN ALTO GRADO DE PERSONALIZACIÓN.PORSCHE TAMBIÉN SE HA PROPUESTO UTILIZAR MATERIALES MÁS ECOLÓGICOS EN SUS COCHES. UNA PARTE DE ELLOS ESTÁN PRESENTES EN ELEMENTOS SELECCIONADOS DEL INTERIOR DEL MACAN ELÉCTRICO.EXPERIENCIA DE CONDUCCIÓN: GRAN POTENCIA INFORMÁTICA Y CONECTIVIDADEL MACAN ESTÁ EQUIPADO CON EL CONCEPTO DE VISUALIZACIÓN Y MANEJO DE ÚLTIMA GENERACIÓN, CON HASTA TRES PANTALLAS, INCLUYENDO LA INSTRUMENTACIÓN INDEPENDIENTE DE 12,6 PULGADAS CON DISEÑO CURVO Y LA PANTALLA CENTRAL DE 10,9 PULGADAS. COMO NOVEDAD, EL PASAJERO DELANTERO, CON SU PROPIO DISPLAY OPCIONAL DE 10,9 PULGADAS, PUEDE VER INFORMACIÓN, AJUSTAR LA CONFIGURACIÓN DEL SISTEMA DE INFOENTRETENIMIENTO O REPRODUCIR CONTENIDOS DE VÍDEO DURANTE LA MARCHA. POR PRIMERA VEZ, EL SISTEMA PORSCHE DRIVER EXPERIENCE TAMBIÉN INCLUYE UN HEAD-UP DISPLAY CON TECNOLOGÍA DE REALIDAD AUMENTADA. ELEMENTOS VIRTUALES COMO LAS FLECHAS DE NAVEGACIÓN SE INTEGRAN VISUALMENTE A LA PERFECCIÓN EN EL MUNDO REAL. LA IMAGEN APARECE ANTE EL CONDUCTOR A UNA DISTANCIA DE 10 METROS Y EQUIVALE A LA DE UNA PANTALLA DE 87 PULGADAS.EL SISTEMA DE INFOENTRETENIMIENTO DE NUEVA GENERACIÓN SE BASA EN ANDROID AUTOMOTIVE OS. EL SISTEMA PORSCHE COMMUNICATION MANAGEMENT (PCM), DE SERIE EN EL NUEVO MACAN, LLEVA EL RENDIMIENTO INFORMÁTICO A UN NUEVO NIVEL. POR EJEMPLO, EL ASISTENTE DE VOZ “HEY PORSCHE” SUGIERE MUY RÁPIDAMENTE RUTAS, INCLUIDAS LAS PARADAS DE CARGA. EN EL NUEVO PORSCHE APP CENTRE, LOS PASAJEROS PUEDEN ACCEDER DIRECTAMENTE A APLICACIONES POPULARES DE TERCEROS PROVEEDORES E INSTALARLAS DIRECTAMENTE EN EL NUEVO MACAN.PRIMER MACAN CON DIRECCIÓN EN EL EJE TRASERO Y AMORTIGUADORES DE DOS VÁLVULASPORSCHE HA DESARROLLADO EL MACAN CENTRÁNDOSE EN LA DINÁMICA PROPIA DE LA MARCA Y EN UN TACTO DE LA DIRECCIÓN INCONFUNDIBLE. TANTO EL MACAN 4 COMO EL MACAN TURBO TIENEN TRACCIÓN TOTAL. LOS DOS MOTORES ELÉCTRICOS SE CONTROLAN A TRAVÉS DE LA ELECTRÓNICA DE POTENCIA CASI EN TIEMPO REAL. EL SISTEMA PORSCHE TRACTION MANAGEMENT (EPTM), CONTROLADO ELECTRÓNICAMENTE, FUNCIONA UNAS CINCO VECES MÁS RÁPIDO QUE UNA TRACCIÓN INTEGRAL CONVENCIONAL Y PUEDE RESPONDER AL DESLIZAMIENTO EN 10 MILISEGUNDOS. ADEMÁS, LA DISTRIBUCIÓN DE LA TRACCIÓN TOTAL SE RIGE POR EL PROGRAMA DE CONDUCCIÓN SELECCIONADO. EL PORSCHE TORQUE VECTORING PLUS (PTV PLUS), UN BLOQUEO DE DIFERENCIAL CONTROLADO ELECTRÓNICAMENTE EN EL EJE TRASERO, TAMBIÉN CONTRIBUYE A LA TRACCIÓN, LA ESTABILIDAD DE MARCHA Y EL DINAMISMO LATERAL DEL MACAN TURBO.LAS VERSIONES MACAN CON SUSPENSIÓN NEUMÁTICA, DE SERIE EN EL TURBO, ESTÁN EQUIPADAS CON EL CONTROL ELECTRÓNICO DE LA AMORTIGUACIÓN PORSCHE ACTIVE SUSPENSION MANAGEMENT (PASM). TAMBIÉN PUEDE COMBINARSE OPCIONALMENTE CON LA SUSPENSIÓN DE MUELLES DE ACERO. ADEMÁS, EL PASM DISPONE AHORA DE AMORTIGUADORES CON TECNOLOGÍA DE DOS VÁLVULAS. GRACIAS AL MAPA DE AMORTIGUACIÓN MÁS AMPLIO, SE CONSIGUE UN MARGEN MAYOR ENTRE CONFORT Y ESTABILIDAD. ESTO HACE QUE LAS DIFERENCIAS ENTRE LOS PROGRAMAS SEAN AÚN MÁS TANGIBLES.POR PRIMERA VEZ, EL MACAN DISPONE DE DIRECCIÓN OPCIONAL EN EL EJE TRASERO, CON UN ÁNGULO DE GIRO MÁXIMO DE CINCO GRADOS. PERMITE UN REDUCIDO DIÁMETRO DE GIRO DE 11,1 METROS EN EL TRÁFICO URBANO Y AL MANIOBRAR, AL TIEMPO QUE OFRECE UNA ESTABILIDAD EXCEPCIONAL A VELOCIDADES MÁS ALTAS, COMPLEMENTADA POR LA DIRECCIÓN SENSIBLE Y PRECISA DEL EJE DELANTERO POR LA QUE LA MARCA ES CONOCIDA.CARACTERÍSTICAS TÉCNICAS (DATOS OFICIALES SEGÚN PORSCHE AG):- POTENCIA HASTA (KW): 285 KW- AUMENTO SOBRE PODER CON CONTROL DE LANZAMIENTO HASTA (KW): 300 KW- AUMENTO SOBRE PODER CON CONTROL DE LANZAMIENTO HASTA (PS): 408 PS- MÁXIMO TORQUE CON CONTROL DE LANZAMIENTO: 650 NM- MÁXIMO TORQUE DE RUEDA CON CONTROL DE LANZAMIENTO: 6.224 NM- CAPACIDAD BRUTA DE LA BATERÍA: 100,0 KWH- CAPACIDAD NETA DE LA BATERÍA: 96,0 KWH- MÁXIMA POTENCIA DE CARGA CON CORRIENTE CONTINUA (DC): 270 KW- TIEMPO DE CARGA PARA CORRIENTE ALTERNA (AC) CON 9,6KW (0 HASTA 100%): 11,00 H- TIEMPO DE CARGA PARA CORRIENTE ALTERNA (AC) CON 11KW (0 A HASTA 100%): 10,0 H- LONGITUD: 4.784 MM- ANCHO: 1.938 MM- ANCHO (CON ESPEJOS): 2.152 MM- ALTURA: 1.622 MM- DISTANCIA ENTRE EJES: 2.893 MM- RADIO DE GIRO: 12,1 M- PESO EN VACÍO (DIN): 2.330 KG- PESO BRUTO ADMISIBLE: 2.920 KG- CARGA MÁXIMA: 590 KG- MÁX. CARGA DE REMOLQUE (FRENADA): 2.000 KG-MÁX. CARGA DE REMOLQUE (SIN FRENOS): 750 KG- PESO DE LA TROMPA (EG): 80 KG- CARGA MÁXIMA ADMISIBLE SOBRE EL TECHO CON SISTEMA DE TRANSPORTE DE TECHO PORSCHE: 75 KG- VOLUMEN DEL MALETERO, DELANTE: 84 L- VOLUMEN DEL MALETERO ABIERTO (HASTA EL BORDE SUPERIOR DE LOS ASIENTOS TRASEROS): 540 L- MAYOR VOLUMEN DE MALETERO (DETRÁS DE LOS ASIENTOS DELANTEROS, HASTA EL TECHO): 1.348 L- VELOCIDAD MÁXIMA: 220 KM/H- ACELERACIÓN 0 - 100 KM/H CON CONTROL DE LANZAMIENTO: 5,2 S- ACELERACIÓN 0 - 160 KM/H CON CONTROL DE LANZAMIENTO: 11,8 S- ACELERACIÓN 0 - 200 KM/H CON CONTROL DE LANZAMIENTO: 19,0 S- ACELERACIÓN (80-120 KM/H) (50-75 MPH) CON CONTROL DE LANZAMIENTO: 3,1 S",tienda,,
BMW,X3,2018.0,30i,Gris,Nafta,5.0,AUTOMÁTICA,,No,94000.0,Bmw X 3 30 I Xdrive Xline 2018,46500.0,US$,Excelente estado. Service oficialesAceptamos permutas.Estamos trabajando con cita previa. Envianos un whatsapp al celular de la publicación o via chat de Mercado Libre y coordinamos tu visita.El vehículo no se encuentra en la agencia. por favor coordinar visita previa.,concesionaria,,4x4
Mini,Cooper Countryman,2023.0,classic,Rojo,Nafta,5.0,AUTOMÁTICA,,No,0.0,Mini  Countryman Cooper Classic Genco Mini ,46900.0,US$,"Estimados Clientes:Consulte por financiacion.Estamos ubicados en Rodriguez Peña 401 de Godoy Cruz, a la par del supermercado Makro.Concesionario oficial:BMW, MINI, BMW Motorrad, en Mendoza. Contamos con área de ventas de Usados.Contamos con servicio de PostVenta:- Talleres: con personal profesional altamente capacitado ofrecemos servicios mecánicos, como así también de estética automotriz, con personal altamente calificado, tecnología e insumos del más alto nivel para garantizar la calidad de nuestros servicios.- Sector de Repuestos y Accesorios: donde podrá conseguir todo lo necesario para su vehículo.Sin duda nuestra trayectoria nos respalda. No dude en contactarnos.",concesionaria,136.0,
BMW,X1,2025.0,e xline,MINERALWEISS METALLIC,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,BMW X1 25 E XDRIVE XLINE,89900.0,US$,El vendedor no incluyó una descripción del producto,concesionaria,,4x4
Ford,Bronco,1981.0,xlt v8 302,Azul,Nafta,2.0,AUTOMÁTICA,,,1111111.0,Ford Bronco XLT V8 302,55000.0,US$,"Ford bronco v8Motor 302AutomáticaLlantas American Racingcubiertas bf goodrich 33x12,5x15Aire acondicionado( solo entendidos )",concesionaria,,
Citroën,C3 Aircross,2025.0,t200 feel pack 7as,Rojo,Nafta,5.0,AUTOMÁTICA,,,0.0,Citroën C3 Aircross t200 feel pack 7as,27400000.0,$,"***** ATENCION**** CONTAMOS CON STOCK DISPONIBLE *ENTREGA INMEDIATA!!!FINANCIA $20.000.000 EN 24 CUOTAS FIJAS EN PESOS DE 833.400 TASA 0% INTERES!!!!!**** EXCLUSIVA FINANCIACION A TASA 0% POR VEINTE MILLONES DE PESOS A 24 MESES****** Mejoramos cualquier presupuesto del país * *financiacion en cuotas fijas o variables** NAVE MOTORS ** Concesionario con mas de 10 años de experiencia en vehiculos citroën **tenemos la mejor financiacion del mercado** El asesoramiento personalizado, calidad de servicio, buena atención, responsabilidad y transparencia son nuestros principales atributos para que tengas la mejor experiencia de compra ** NO DUDES Y CONSÚLTANOS ANTES DE DECIDIRTE *SIEMPRE CON ¡ENTREGA INMEDIATA!* RETIRA YA TU 0KM CON UN MÍNIMO ANTICIPO y SOLO CON DNI * (FINANCIACIÓN + DESCUENTO) * * * (FINANCIACIÓN + DESCUENTO *",tienda,,
Peugeot,2008,2025.0,gt am25,Gris,Nafta,5.0,AUTOMÁTICA,,,1000.0,Peugeot 2008 Gt Am25,43900000.0,$,"Desde BMW AutoPremier tenemos para ofrecerte una PEUGEOT 2008 GT AM25 (LINEA NUEVA) en excelente estado.Por favor con el fin de brindarte una buena atención, te invitamos a coordinar una cita previamente y así asegurarnos que la unidad de tu interés esté lista y preparada en nuestro salón.Nuestros horarios de atención son de lunes a viernes de 9:00 a 19:00hs y sábados de 10:00 a 14:00hs.Antes cualquier duda o comentario quedamos a tu entera disposición.",tienda,120.0,
BMW,X2,2025.0,20i okm 2025,Gris,Nafta,5.0,AUTOMÁTICA,,,0.0,Bmw X2 Okm 2025 - Linea Nueva ,85000.0,US$,"BMW X2 20i XDRRIVE M Sport X Okm 20254X4 Tracción integral - Linea nuevaEquipo M - 205CVColor: VariosPrecio Lista / Permuta u$s 85.000 dólaresPrecio Contado u$s 85.000 dólaresValor publicado con equipo de serieEl valor de los opcionales independientes los deberá consultar según el color disponible • TOMA DE USADOS:Deberá mandarnos por whatsapp :Fotos - Km - Año - Versión - Estado de neumáticosEl usado puede ser de cualquier marcaLa toma del usado se hace sobre el precio de listaDesde el botón WHATSAPP se contacta inmediatamente.•Respondermos su consulta por whatsapp en el momento •Concesionario oficial BMWMisael Ferrer+ Aceptamos Transferencia en Pesos o Dólares ++ Cuentas bancarias en todos los bancos +• Bell Motors - Concesionario oficial BMW •Compre tranquilo, compre en concesionario oficial• ATENCIÓN PERSONALIZADA• DOCUMENTACIÓN AL DÍA Y LISTA PARA PATENTARContamos con Administración y Gestoría",concesionaria,205.0,4x4
BMW,X6,2017.0,m,Blanco,Nafta,5.0,,,,35000.0,Bmw X6 M 575 Cv,148000.0,US$,"BMW X6 M 575 CV 750 NM.Versión tope de gama M.- Servicios oficiales.- PPF trompa completa + tratamiento cerámico.- Sin detalles de ningún tipo, estado sobresaliente.- 4 cubiertas 0km recién colocadas.Máximo equipo:- Rodado 21"",- Audio Bang&Olufsen,- Cierre soft close,- Tapizado cuero merino,- Interior en fibra de carbono.La mejor realmente. Considero permutas menor valor de mi interés, únicamente vehículos.",particular,575.0,
BMW,X4,2025.0,i m sport,Negro,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,BMW X4 30 I XDRIVE M SPORT,106900.0,US$,El vendedor no incluyó una descripción del producto,concesionaria,,4x4
